import time: self [us] | cumulative | imported package
import time:      1396 |       1396 |                       _lzma
import time:      2410 |       3806 |                     lzma
import time:      1762 |       1762 |                       _zstd
import time:      2606 |       2606 |                       compression.zstd._zstdfile
import time:      3170 |       7538 |                     compression.zstd
import time:      2570 |      26191 |                   shutil
import time:        95 |         95 |                       _bisect
import time:      3443 |       3538 |                     bisect
import time:        53 |         53 |                     _random
import time:      2835 |       6425 |                   random
import time:      2676 |      35291 |                 tempfile
import time:      3962 |      39252 |               anyio._core._tempfile
import time:      2281 |     225098 |             anyio
import time:        30 |     225128 |           anyio.lowlevel
import time:      3764 |       3764 |                     typing_extensions
import time:      2028 |       2028 |                     pydantic_core._pydantic_core
import time:      2869 |       2869 |                           numbers
import time:      2624 |       5492 |                         _decimal
import time:      2436 |       7928 |                       decimal
import time:     12817 |      20744 |                     pydantic_core.core_schema
import time:      3248 |      29782 |                   pydantic_core
import time:      1958 |      31739 |                 pydantic.version
import time:      2086 |      33825 |               pydantic.warnings
import time:      2658 |      36483 |             pydantic._migration
import time:      1966 |       1966 |                 typing_inspection
import time:      4708 |       4708 |                 typing_inspection.typing_objects
import time:      3731 |      10405 |               typing_inspection.introspection
import time:      2325 |       2325 |               pydantic._internal
import time:      1738 |       1738 |                   pydantic._internal._namespace_utils
import time:      2048 |       3786 |                 pydantic._internal._typing_extra
import time:      2292 |       6078 |               pydantic._internal._repr
import time:      2328 |      21134 |             pydantic.errors
import time:      4041 |      61658 |           pydantic
import time:       120 |        120 |                   _json
import time:      3590 |       3710 |                 json.scanner
import time:      2134 |       5843 |               json.decoder
import time:      3545 |       3545 |               json.encoder
import time:      1951 |      11339 |             json
